,0,1,2,3,4
35.3,2010,-0.5,6.5,37.8044557,-122.2713563
35.9,2010,-0.5,6.5,45.4149778,-72.749396
39.3,2010,-0.5,6.5,47.6038321,-122.3300624
39.8,2010,-0.5,6.5,39.7392364,-104.9848623
41.0,2010,-0.5,6.5,32.9637838,-116.7706277
43.9,2010,-0.5,6.5,25.7742658,-80.1936589
46.8,2010,-0.5,6.5,33.4485866,-112.0773456
46.8,2010,-0.5,6.5,29.4246002,-98.4951405
47.6,2010,-0.5,6.5,29.7589382,-95.3676974
49.1,2010,-0.5,6.5,42.3602534,-71.0582912
50.8,2010,-0.5,6.5,36.4280088,-92.0269643
51.3,2010,-0.5,6.5,32.753177,-97.3327459
51.4,2010,-0.5,6.5,41.8755616,-87.6244212
51.5,2010,-0.5,6.5,44.9706705,-93.268217735811
54.3,2010,-0.5,6.5,39.9527237,-75.1635262
54.9,2010,-0.5,6.5,36.1662859,-115.149225
57.9,2010,-0.5,6.5,39.7683331,-86.1583502
62.0,2010,-0.5,6.5,39.100105,-94.5781416
66.7,2010,-0.5,6.5,39.9622601,-83.0007065
12.7,2010,0.5,-0.5,29.4246002,-98.4951405
15.2,2010,0.5,-0.5,34.0536909,-118.2427666
19.9,2010,0.5,-0.5,25.7742658,-80.1936589
26.7,2010,0.5,-0.5,33.4485866,-112.0773456
27.3,2010,0.5,-0.5,45.4149778,-72.749396
29.6,2010,0.5,-0.5,47.6038321,-122.3300624
30.4,2010,0.5,-0.5,38.8948932,-77.0365529
30.7,2010,0.5,-0.5,32.9637838,-116.7706277
31.7,2010,0.5,-0.5,29.7589382,-95.3676974
31.8,2010,0.5,-0.5,42.3602534,-71.0582912
31.8,2010,0.5,-0.5,39.7392364,-104.9848623
38.1,2010,0.5,-0.5,36.4280088,-92.0269643
39.1,2010,0.5,-0.5,32.753177,-97.3327459
40.0,2010,0.5,-0.5,44.9706705,-93.268217735811
40.4,2010,0.5,-0.5,41.8755616,-87.6244212
40.8,2010,0.5,-0.5,36.1662859,-115.149225
46.3,2010,0.5,-0.5,39.9527237,-75.1635262
48.6,2010,0.5,-0.5,39.7683331,-86.1583502
52.0,2010,0.5,-0.5,39.100105,-94.5781416
54.7,2010,0.5,-0.5,39.9622601,-83.0007065
23.3,2010,1.5,-0.5,34.0536909,-118.2427666
23.8,2010,1.5,-0.5,33.4485866,-112.0773456
29.7,2010,1.5,-0.5,29.4246002,-98.4951405
44.4,2010,1.5,-0.5,32.9637838,-116.7706277
44.5,2010,1.5,-0.5,45.4149778,-72.749396
46.6,2010,1.5,-0.5,25.7742658,-80.1936589
46.9,2010,1.5,-0.5,37.8044557,-122.2713563
47.9,2010,1.5,-0.5,47.6038321,-122.3300624
50.2,2010,1.5,-0.5,38.8948932,-77.0365529
53.5,2010,1.5,-0.5,36.1662859,-115.149225
55.5,2010,1.5,-0.5,39.7392364,-104.9848623
56.2,2010,1.5,-0.5,29.7589382,-95.3676974
57.5,2010,1.5,-0.5,32.753177,-97.3327459
60.3,2010,1.5,-0.5,36.4280088,-92.0269643
60.6,2010,1.5,-0.5,41.8755616,-87.6244212
61.3,2010,1.5,-0.5,42.3602534,-71.0582912
65.7,2010,1.5,-0.5,39.9527237,-75.1635262
67.7,2010,1.5,-0.5,44.9706705,-93.268217735811
71.3,2010,1.5,-0.5,39.7683331,-86.1583502
74.4,2010,1.5,-0.5,39.100105,-94.5781416
76.0,2010,1.5,-0.5,39.9622601,-83.0007065
16.6,2011,-0.5,-0.5,34.0536909,-118.2427666
25.0,2011,-0.5,-0.5,33.4485866,-112.0773456
29.4,2011,-0.5,-0.5,25.7742658,-80.1936589
31.6,2011,-0.5,-0.5,29.4246002,-98.4951405
33.8,2011,-0.5,-0.5,37.3361905,-121.8905833
34.2,2011,-0.5,-0.5,40.7127281,-74.0060152
34.5,2011,-0.5,-0.5,39.7392364,-104.9848623
34.6,2011,-0.5,-0.5,44.4567705,-78.7359702
35.1,2011,-0.5,-0.5,47.6038321,-122.3300624
36.2,2011,-0.5,-0.5,44.9706705,-93.268217735811
36.3,2011,-0.5,-0.5,37.8044557,-122.2713563
36.3,2011,-0.5,-0.5,32.9637838,-116.7706277
39.0,2011,-0.5,-0.5,29.7589382,-95.3676974
40.2,2011,-0.5,-0.5,38.8948932,-77.0365529
42.1,2011,-0.5,-0.5,42.3602534,-71.0582912
46.0,2011,-0.5,-0.5,36.4280088,-92.0269643
47.3,2011,-0.5,-0.5,41.8755616,-87.6244212
47.3,2011,-0.5,-0.5,32.753177,-97.3327459
49.9,2011,-0.5,-0.5,45.5202471,-122.6741949
51.8,2011,-0.5,-0.5,36.1662859,-115.149225
53.8,2011,-0.5,-0.5,39.100105,-94.5781416
56.5,2011,-0.5,-0.5,42.3315509,-83.0466403
58.3,2011,-0.5,-0.5,39.9527237,-75.1635262
60.3,2011,-0.5,-0.5,39.7683331,-86.1583502
62.3,2011,-0.5,-0.5,39.9622601,-83.0007065
0.0,2011,-0.5,0.5,39.7683331,-86.1583502
26.8,2011,-0.5,0.5,39.7392364,-104.9848623
30.0,2011,-0.5,0.5,36.4280088,-92.0269643
190.0,2011,-0.5,0.5,44.9706705,-93.268217735811
17.1,2011,-0.5,1.5,33.4485866,-112.0773456
19.0,2011,-0.5,1.5,34.0536909,-118.2427666
20.7,2011,-0.5,1.5,41.8755616,-87.6244212
23.0,2011,-0.5,1.5,44.4567705,-78.7359702
24.3,2011,-0.5,1.5,42.3602534,-71.0582912
24.3,2011,-0.5,1.5,40.7127281,-74.0060152
24.6,2011,-0.5,1.5,36.4280088,-92.0269643
25.7,2011,-0.5,1.5,44.9706705,-93.268217735811
28.4,2011,-0.5,1.5,32.9637838,-116.7706277
28.8,2011,-0.5,1.5,37.3361905,-121.8905833
30.0,2011,-0.5,1.5,36.1662859,-115.149225
32.6,2011,-0.5,1.5,37.8044557,-122.2713563
34.7,2011,-0.5,1.5,47.6038321,-122.3300624
42.4,2011,-0.5,1.5,39.9527237,-75.1635262
49.2,2011,-0.5,1.5,39.7392364,-104.9848623
0,2011,-0.5,1.5,39.9622601,-83.0007065
0,2011,-0.5,1.5,39.7683331,-86.1583502
23.5,2011,-0.5,2.5,44.9706705,-93.268217735811
24.0,2011,-0.5,2.5,33.4485866,-112.0773456
29.2,2011,-0.5,2.5,25.7742658,-80.1936589
38.1,2011,-0.5,2.5,40.7127281,-74.0060152
44.7,2011,-0.5,2.5,32.9637838,-116.7706277
46.8,2011,-0.5,2.5,39.7392364,-104.9848623
47.9,2011,-0.5,2.5,29.4246002,-98.4951405
48.7,2011,-0.5,2.5,32.753177,-97.3327459
48.9,2011,-0.5,2.5,42.3602534,-71.0582912
49.8,2011,-0.5,2.5,34.0536909,-118.2427666
50.5,2011,-0.5,2.5,36.4280088,-92.0269643
51.8,2011,-0.5,2.5,38.8948932,-77.0365529
54.3,2011,-0.5,2.5,37.8044557,-122.2713563
56.7,2011,-0.5,2.5,36.1662859,-115.149225
56.9,2011,-0.5,2.5,42.3315509,-83.0466403
57.5,2011,-0.5,2.5,47.6038321,-122.3300624
58.1,2011,-0.5,2.5,29.7589382,-95.3676974
59.3,2011,-0.5,2.5,39.100105,-94.5781416
61.5,2011,-0.5,2.5,44.4567705,-78.7359702
62.8,2011,-0.5,2.5,41.8755616,-87.6244212
63.5,2011,-0.5,2.5,39.9622601,-83.0007065
63.6,2011,-0.5,2.5,45.5202471,-122.6741949
64.1,2011,-0.5,2.5,39.9527237,-75.1635262
74.2,2011,-0.5,2.5,39.7683331,-86.1583502
4.7,2011,-0.5,3.5,33.4485866,-112.0773456
11.8,2011,-0.5,3.5,34.0536909,-118.2427666
12.3,2011,-0.5,3.5,39.9527237,-75.1635262
13.8,2011,-0.5,3.5,38.8948932,-77.0365529
14.3,2011,-0.5,3.5,44.9706705,-93.268217735811
17.2,2011,-0.5,3.5,44.4567705,-78.7359702
17.3,2011,-0.5,3.5,37.8044557,-122.2713563
17.5,2011,-0.5,3.5,37.3361905,-121.8905833
19.6,2011,-0.5,3.5,29.7589382,-95.3676974
19.7,2011,-0.5,3.5,41.8755616,-87.6244212
19.8,2011,-0.5,3.5,36.4280088,-92.0269643
19.9,2011,-0.5,3.5,42.3602534,-71.0582912
20.6,2011,-0.5,3.5,40.7127281,-74.0060152
21.4,2011,-0.5,3.5,29.4246002,-98.4951405
23.8,2011,-0.5,3.5,32.9637838,-116.7706277
24.2,2011,-0.5,3.5,32.753177,-97.3327459
26.6,2011,-0.5,3.5,25.7742658,-80.1936589
27.2,2011,-0.5,3.5,36.1662859,-115.149225
30.0,2011,-0.5,3.5,39.7392364,-104.9848623
0,2011,-0.5,3.5,39.9622601,-83.0007065
0,2011,-0.5,3.5,39.7683331,-86.1583502
5.6,2011,-0.5,4.5,33.4485866,-112.0773456
6.2,2011,-0.5,5.5,29.4246002,-98.4951405
21.4,2011,-0.5,5.5,36.1662859,-115.149225
25.7,2011,-0.5,5.5,29.7589382,-95.3676974
36.0,2011,-0.5,5.5,32.753177,-97.3327459
0,2011,-0.5,5.5,42.3602534,-71.0582912
0,2011,-0.5,5.5,39.9622601,-83.0007065
0,2011,-0.5,5.5,32.9637838,-116.7706277
10.3,2011,-0.5,6.5,34.0536909,-118.2427666
27.5,2011,-0.5,6.5,38.8948932,-77.0365529
28.3,2011,-0.5,6.5,37.8044557,-122.2713563
33.5,2011,-0.5,6.5,47.6038321,-122.3300624
34.6,2011,-0.5,6.5,39.7392364,-104.9848623
37.4,2011,-0.5,6.5,44.9706705,-93.268217735811
37.6,2011,-0.5,6.5,44.4567705,-78.7359702
38.0,2011,-0.5,6.5,25.7742658,-80.1936589
40.0,2011,-0.5,6.5,32.9637838,-116.7706277
40.6,2011,-0.5,6.5,33.4485866,-112.0773456
41.9,2011,-0.5,6.5,29.7589382,-95.3676974
42.0,2011,-0.5,6.5,40.7127281,-74.0060152
42.8,2011,-0.5,6.5,37.3361905,-121.8905833
43.3,2011,-0.5,6.5,29.4246002,-98.4951405
47.8,2011,-0.5,6.5,42.3602534,-71.0582912
48.6,2011,-0.5,6.5,41.8755616,-87.6244212
49.2,2011,-0.5,6.5,36.4280088,-92.0269643
51.4,2011,-0.5,6.5,39.100105,-94.5781416
51.4,2011,-0.5,6.5,45.5202471,-122.6741949
51.5,2011,-0.5,6.5,32.753177,-97.3327459
53.8,2011,-0.5,6.5,42.3315509,-83.0466403
55.9,2011,-0.5,6.5,39.9527237,-75.1635262
58.4,2011,-0.5,6.5,39.7683331,-86.1583502
59.1,2011,-0.5,6.5,36.1662859,-115.149225
64.3,2011,-0.5,6.5,39.9622601,-83.0007065
13.3,2011,0.5,-0.5,34.0536909,-118.2427666
19.2,2011,0.5,-0.5,25.7742658,-80.1936589
24.2,2011,0.5,-0.5,33.4485866,-112.0773456
24.3,2011,0.5,-0.5,29.4246002,-98.4951405
26.3,2011,0.5,-0.5,44.4567705,-78.7359702
26.8,2011,0.5,-0.5,37.3361905,-121.8905833
27.0,2011,0.5,-0.5,40.7127281,-74.0060152
27.4,2011,0.5,-0.5,44.9706705,-93.268217735811
28.6,2011,0.5,-0.5,47.6038321,-122.3300624
28.9,2011,0.5,-0.5,39.7392364,-104.9848623
29.4,2011,0.5,-0.5,37.8044557,-122.2713563
29.9,2011,0.5,-0.5,32.9637838,-116.7706277
30.1,2011,0.5,-0.5,42.3602534,-71.0582912
31.7,2011,0.5,-0.5,29.7589382,-95.3676974
34.3,2011,0.5,-0.5,38.8948932,-77.0365529
34.5,2011,0.5,-0.5,41.8755616,-87.6244212
36.5,2011,0.5,-0.5,32.753177,-97.3327459
37.1,2011,0.5,-0.5,36.4280088,-92.0269643
44.7,2011,0.5,-0.5,36.1662859,-115.149225
44.7,2011,0.5,-0.5,45.5202471,-122.6741949
45.7,2011,0.5,-0.5,42.3315509,-83.0466403
46.3,2011,0.5,-0.5,39.7683331,-86.1583502
49.6,2011,0.5,-0.5,39.9622601,-83.0007065
49.7,2011,0.5,-0.5,39.9527237,-75.1635262
51.4,2011,0.5,-0.5,39.100105,-94.5781416
20.9,2011,1.5,-0.5,34.0536909,-118.2427666
25.4,2011,1.5,-0.5,33.4485866,-112.0773456
41.6,2011,1.5,-0.5,39.7392364,-104.9848623
43.0,2011,1.5,-0.5,37.3361905,-121.8905833
43.2,2011,1.5,-0.5,25.7742658,-80.1936589
43.5,2011,1.5,-0.5,47.6038321,-122.3300624
44.3,2011,1.5,-0.5,40.7127281,-74.0060152
44.9,2011,1.5,-0.5,32.9637838,-116.7706277
45.4,2011,1.5,-0.5,44.4567705,-78.7359702
45.6,2011,1.5,-0.5,44.9706705,-93.268217735811
46.4,2011,1.5,-0.5,37.8044557,-122.2713563
48.6,2011,1.5,-0.5,38.8948932,-77.0365529
48.7,2011,1.5,-0.5,29.7589382,-95.3676974
53.3,2011,1.5,-0.5,29.4246002,-98.4951405
55.7,2011,1.5,-0.5,45.5202471,-122.6741949
57.7,2011,1.5,-0.5,36.4280088,-92.0269643
58.1,2011,1.5,-0.5,42.3602534,-71.0582912
60.9,2011,1.5,-0.5,36.1662859,-115.149225
62.6,2011,1.5,-0.5,32.753177,-97.3327459
65.8,2011,1.5,-0.5,41.8755616,-87.6244212
71.5,2011,1.5,-0.5,39.9527237,-75.1635262
73.0,2011,1.5,-0.5,42.3315509,-83.0466403
77.3,2011,1.5,-0.5,39.100105,-94.5781416
80.2,2011,1.5,-0.5,39.7683331,-86.1583502
80.6,2011,1.5,-0.5,39.9622601,-83.0007065
15.8,2012,-0.5,-0.5,34.0536909,-118.2427666
28.4,2012,-0.5,-0.5,33.4485866,-112.0773456
29.0,2012,-0.5,-0.5,29.4246002,-98.4951405
29.3,2012,-0.5,-0.5,25.7742658,-80.1936589
31.8,2012,-0.5,-0.5,44.4567705,-78.7359702
32.0,2012,-0.5,-0.5,37.3361905,-121.8905833
33.8,2012,-0.5,-0.5,40.7127281,-74.0060152
34.0,2012,-0.5,-0.5,47.6038321,-122.3300624
34.9,2012,-0.5,-0.5,32.9637838,-116.7706277
39.2,2012,-0.5,-0.5,29.7589382,-95.3676974
39.5,2012,-0.5,-0.5,39.7392364,-104.9848623
40.2,2012,-0.5,-0.5,38.8948932,-77.0365529
40.7,2012,-0.5,-0.5,45.5202471,-122.6741949
44.5,2012,-0.5,-0.5,44.9706705,-93.268217735811
44.9,2012,-0.5,-0.5,36.4280088,-92.0269643
45.3,2012,-0.5,-0.5,42.3602534,-71.0582912
46.2,2012,-0.5,-0.5,41.8755616,-87.6244212
46.2,2012,-0.5,-0.5,32.753177,-97.3327459
51.0,2012,-0.5,-0.5,36.1662859,-115.149225
55.3,2012,-0.5,-0.5,39.100105,-94.5781416
57.0,2012,-0.5,-0.5,39.9527237,-75.1635262
61.2,2012,-0.5,-0.5,42.3315509,-83.0466403
62.2,2012,-0.5,-0.5,39.9622601,-83.0007065
62.5,2012,-0.5,-0.5,39.7683331,-86.1583502
85.2,2012,-0.5,-0.5,37.8044557,-122.2713563
7.1,2012,-0.5,0.5,33.4485866,-112.0773456
30.1,2012,-0.5,0.5,36.4280088,-92.0269643
97.0,2012,-0.5,0.5,44.9706705,-93.268217735811
14.8,2012,-0.5,1.5,34.0536909,-118.2427666
15.8,2012,-0.5,1.5,33.4485866,-112.0773456
19.9,2012,-0.5,1.5,41.8755616,-87.6244212
23.3,2012,-0.5,1.5,47.6038321,-122.3300624
24.0,2012,-0.5,1.5,36.4280088,-92.0269643
25.7,2012,-0.5,1.5,39.7392364,-104.9848623
26.2,2012,-0.5,1.5,37.8044557,-122.2713563
26.3,2012,-0.5,1.5,39.9527237,-75.1635262
26.5,2012,-0.5,1.5,32.9637838,-116.7706277
26.7,2012,-0.5,1.5,36.1662859,-115.149225
27.4,2012,-0.5,1.5,40.7127281,-74.0060152
27.4,2012,-0.5,1.5,37.3361905,-121.8905833
30.1,2012,-0.5,1.5,44.4567705,-78.7359702
33.9,2012,-0.5,1.5,44.9706705,-93.268217735811
42.3,2012,-0.5,1.5,42.3602534,-71.0582912
48.0,2012,-0.5,1.5,45.5202471,-122.6741949
0,2012,-0.5,1.5,39.9622601,-83.0007065
0,2012,-0.5,1.5,39.7683331,-86.1583502
0,2012,-0.5,1.5,39.7683331,-86.1583502
29.3,2012,-0.5,2.5,25.7742658,-80.1936589
32.4,2012,-0.5,2.5,33.4485866,-112.0773456
33.1,2012,-0.5,2.5,47.6038321,-122.3300624
34.8,2012,-0.5,2.5,44.4567705,-78.7359702
37.7,2012,-0.5,2.5,40.7127281,-74.0060152
37.8,2012,-0.5,2.5,42.3602534,-71.0582912
46.8,2012,-0.5,2.5,34.0536909,-118.2427666
47.7,2012,-0.5,2.5,32.9637838,-116.7706277
48.1,2012,-0.5,2.5,29.4246002,-98.4951405
49.6,2012,-0.5,2.5,36.4280088,-92.0269643
50.3,2012,-0.5,2.5,39.7392364,-104.9848623
52.1,2012,-0.5,2.5,29.7589382,-95.3676974
52.3,2012,-0.5,2.5,38.8948932,-77.0365529
52.4,2012,-0.5,2.5,44.9706705,-93.268217735811
53.8,2012,-0.5,2.5,39.100105,-94.5781416
55.4,2012,-0.5,2.5,37.8044557,-122.2713563
56.0,2012,-0.5,2.5,32.753177,-97.3327459
58.4,2012,-0.5,2.5,39.9622601,-83.0007065
61.4,2012,-0.5,2.5,36.1662859,-115.149225
62.1,2012,-0.5,2.5,42.3315509,-83.0466403
62.7,2012,-0.5,2.5,41.8755616,-87.6244212
62.8,2012,-0.5,2.5,39.9527237,-75.1635262
78.8,2012,-0.5,2.5,39.7683331,-86.1583502
4.7,2012,-0.5,3.5,44.9706705,-93.268217735811
4.9,2012,-0.5,3.5,33.4485866,-112.0773456
9.0,2012,-0.5,3.5,34.0536909,-118.2427666
14.5,2012,-0.5,3.5,29.7589382,-95.3676974
17.0,2012,-0.5,3.5,44.4567705,-78.7359702
18.1,2012,-0.5,3.5,37.3361905,-121.8905833
18.2,2012,-0.5,3.5,29.4246002,-98.4951405
18.5,2012,-0.5,3.5,32.9637838,-116.7706277
19.2,2012,-0.5,3.5,36.4280088,-92.0269643
19.4,2012,-0.5,3.5,32.753177,-97.3327459
20.0,2012,-0.5,3.5,40.7127281,-74.0060152
21.3,2012,-0.5,3.5,41.8755616,-87.6244212
21.8,2012,-0.5,3.5,38.8948932,-77.0365529
22.2,2012,-0.5,3.5,42.3602534,-71.0582912
27.2,2012,-0.5,3.5,39.9527237,-75.1635262
27.3,2012,-0.5,3.5,25.7742658,-80.1936589
28.1,2012,-0.5,3.5,36.1662859,-115.149225
32.9,2012,-0.5,3.5,39.7392364,-104.9848623
0,2012,-0.5,3.5,39.9622601,-83.0007065
0,2012,-0.5,3.5,39.7683331,-86.1583502
0,2012,-0.5,3.5,39.7683331,-86.1583502
0,2012,-0.5,3.5,37.8044557,-122.2713563
7.8,2012,-0.5,4.5,33.4485866,-112.0773456
0.6,2012,-0.5,5.5,33.4485866,-112.0773456
4.0,2012,-0.5,5.5,36.1662859,-115.149225
20.4,2012,-0.5,5.5,29.7589382,-95.3676974
30.7,2012,-0.5,5.5,29.4246002,-98.4951405
0,2012,-0.5,5.5,42.3602534,-71.0582912
0,2012,-0.5,5.5,39.9622601,-83.0007065
0,2012,-0.5,5.5,37.8044557,-122.2713563
0,2012,-0.5,5.5,32.9637838,-116.7706277
12.7,2012,-0.5,6.5,34.0536909,-118.2427666
21.6,2012,-0.5,6.5,38.8948932,-77.0365529
30.3,2012,-0.5,6.5,37.8044557,-122.2713563
33.6,2012,-0.5,6.5,44.4567705,-78.7359702
33.6,2012,-0.5,6.5,33.4485866,-112.0773456
36.6,2012,-0.5,6.5,25.7742658,-80.1936589
37.1,2012,-0.5,6.5,29.4246002,-98.4951405
38.3,2012,-0.5,6.5,47.6038321,-122.3300624
39.4,2012,-0.5,6.5,32.9637838,-116.7706277
39.7,2012,-0.5,6.5,45.5202471,-122.6741949
40.6,2012,-0.5,6.5,37.3361905,-121.8905833
40.7,2012,-0.5,6.5,40.7127281,-74.0060152
41.4,2012,-0.5,6.5,39.7392364,-104.9848623
43.9,2012,-0.5,6.5,44.9706705,-93.268217735811
45.3,2012,-0.5,6.5,41.8755616,-87.6244212
47.3,2012,-0.5,6.5,29.7589382,-95.3676974
48.0,2012,-0.5,6.5,36.4280088,-92.0269643
50.3,2012,-0.5,6.5,32.753177,-97.3327459
52.7,2012,-0.5,6.5,39.9527237,-75.1635262
54.3,2012,-0.5,6.5,42.3602534,-71.0582912
56.0,2012,-0.5,6.5,39.100105,-94.5781416
56.9,2012,-0.5,6.5,42.3315509,-83.0466403
57.3,2012,-0.5,6.5,36.1662859,-115.149225
60.6,2012,-0.5,6.5,39.7683331,-86.1583502
65.8,2012,-0.5,6.5,39.9622601,-83.0007065
11.7,2012,0.5,-0.5,34.0536909,-118.2427666
18.3,2012,0.5,-0.5,25.7742658,-80.1936589
22.2,2012,0.5,-0.5,29.4246002,-98.4951405
24.2,2012,0.5,-0.5,37.3361905,-121.8905833
24.8,2012,0.5,-0.5,44.4567705,-78.7359702
26.1,2012,0.5,-0.5,40.7127281,-74.0060152
29.4,2012,0.5,-0.5,33.4485866,-112.0773456
30.9,2012,0.5,-0.5,32.9637838,-116.7706277
32.1,2012,0.5,-0.5,38.8948932,-77.0365529
32.2,2012,0.5,-0.5,29.7589382,-95.3676974
32.8,2012,0.5,-0.5,47.6038321,-122.3300624
34.6,2012,0.5,-0.5,39.7392364,-104.9848623
36.4,2012,0.5,-0.5,36.4280088,-92.0269643
37.4,2012,0.5,-0.5,41.8755616,-87.6244212
37.4,2012,0.5,-0.5,32.753177,-97.3327459
37.7,2012,0.5,-0.5,44.9706705,-93.268217735811
39.2,2012,0.5,-0.5,45.5202471,-122.6741949
41.7,2012,0.5,-0.5,42.3602534,-71.0582912
45.7,2012,0.5,-0.5,36.1662859,-115.149225
46.4,2012,0.5,-0.5,39.9527237,-75.1635262
48.9,2012,0.5,-0.5,42.3315509,-83.0466403
49.9,2012,0.5,-0.5,39.7683331,-86.1583502
50.5,2012,0.5,-0.5,39.9622601,-83.0007065
50.7,2012,0.5,-0.5,39.100105,-94.5781416
21.1,2012,1.5,-0.5,34.0536909,-118.2427666
27.0,2012,1.5,-0.5,33.4485866,-112.0773456
35.8,2012,1.5,-0.5,47.6038321,-122.3300624
38.7,2012,1.5,-0.5,29.4246002,-98.4951405
40.1,2012,1.5,-0.5,32.9637838,-116.7706277
40.4,2012,1.5,-0.5,44.4567705,-78.7359702
